기관코드,유형_1,유형_2,대표기관명,전체기관명,최하위기관명,대표전화번호,새우편번호,도로명주소 - 예: 서울특별시 중구 동호로5길 15 (신당동),비고 ,
1280000.0,검찰,검찰청_대검,대검찰청,대검찰청,대검찰청,02-3480-2000,6590.0,서울특별시 서초구 반포대로 157,,
1280083.0,검찰,검찰청_고검,대검찰청,대검찰청 광주고등검찰청,광주고등검찰청,062-231-3114,61441.0,광주광역시 동구 준법로 7-12,,
1280071.0,검찰,검찰청_고검,대검찰청,대검찰청 대구고등검찰청,대구고등검찰청,053-740-3300,42027.0,대구광역시 수성구 동대구로 364,,
1280065.0,검찰,검찰청_고검,대검찰청,대검찰청 대전고등검찰청,대전고등검찰청,042-470-3000,35237.0,대전광역시 서구 둔산중로78번길 15,,
1280077.0,검찰,검찰청_고검,대검찰청,대검찰청 부산고등검찰청,부산고등검찰청,051-606-3300,47510.0,부산광역시 연제구 법원로 15,,
1280051.0,검찰,검찰청_고검,대검찰청,대검찰청 서울고등검찰청,서울고등검찰청,02-530-3114,6594.0,서울특별시 서초구 반포대로 158,,
1280480.0,검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청,광주지방검찰청,062-231-3114,61441.0,광주광역시 동구 준법로 7-12,,
1280508.0,검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 전주지방검찰청,전주지방검찰청,063-259-4200,54889.0,전라북도 전주시 덕진구 사평로 25,,
1280526.0,검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 제주지방검찰청,제주지방검찰청,064-729-4123,63223.0,제주특별자치도 제주시 남광북5길 3,,
1280349.0,검찰,검찰청_지검,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청,대구지방검찰청,053-740-3300,42027.0,대구광역시 수성구 동대구로 364,,
1280301.0,검찰,검찰청_지검,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청,대전지방검찰청,042-470-3000,35237.0,대전광역시 서구 둔산중로78번길 15,,
1280333.0,검찰,검찰청_지검,대검찰청,대검찰청 대전고등검찰청 청주지방검찰청,청주지방검찰청,043-299-4000,28624.0,충청북도 청주시 서원구 산남로70번길 51,,
1280389.0,검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 부산지방검찰청,부산지방검찰청,051-606-3300,47510.0,부산광역시 연제구 법원로 15,,
1280448.0,검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 울산지방검찰청,울산지방검찰청,052-228-4200,44643.0,울산광역시 남구 법대로 45,,
1280456.0,검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청,창원지방검찰청,055-239-4200,51456.0,경상남도 창원시 성산구 창이대로 669,,
1281000.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울남부지방검찰청,서울남부지방검찰청,02-3219-4200,8088.0,서울특별시 양천구 산월로 390,,
1280984.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울동부지방검찰청,서울동부지방검찰청,02-2204-4000,5856.0,서울특별시 송파구 정의로 30,,
1281018.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울북부지방검찰청,서울북부지방검찰청,02-3399-4200,1322.0,서울특별시 도봉구 마들로 747,,
1281033.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울서부지방검찰청,서울서부지방검찰청,02-3270-4000,4207.0,서울특별시 마포구 마포대로 174,,
1280934.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울중앙지방검찰청,서울중앙지방검찰청,02-530-3114,6594.0,서울특별시 서초구 반포대로 158,,
1280249.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 수원지방검찰청,수원지방검찰청,031-210-4200,16517.0,경기도 수원시 영통구 월드컵로 120,,
1281048.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 의정부지방검찰청,의정부지방검찰청,031-820-4200,11616.0,경기도 의정부시 녹양로34번길 23,,
1280223.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 인천지방검찰청,인천지방검찰청,032-860-4000,22220.0,인천광역시 미추홀구 소성로163번길 49,,
1280283.0,검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청,춘천지방검찰청,033-240-4000,24342.0,강원도 춘천시 공지로 288,,
1280497.0,검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청 목포지청,목포지청,061-280-4200,58671.0,전라남도 목포시 정의로 9,,
